px_msmt,py_msmt,px_pred,py_pred,px_error,py_error,px_gt,py_gt,vx_gt,vy_gt,px_rmse,py_rmse,vx_rmse,vy_rmse
-5.1231,0.257311,-5.32323,0.207157,0.200132,0.0501543,-5.27133,0.300706,-2.11906,-4.71303,0.0991961,0.0837413,0.550234,0.429493
-5.29972,-0.212982,-5.49481,-0.321382,0.195084,0.108401,-5.4869,-0.168772,-2.1918,-4.67335,0.0988526,0.0841794,0.548842,0.428612
-5.85359,-0.445801,-5.68274,-0.689767,-0.17085,0.243965,-5.71001,-0.634069,-2.26974,-4.62919,0.0985001,0.0839431,0.547104,0.427185
-5.87835,-1.26863,-5.95012,-1.07145,0.0717642,-0.197177,-5.94118,-1.09472,-2.35262,-4.58032,0.098149,0.0836748,0.545157,0.425735
-6.27263,-1.50938,-6.13138,-1.65189,-0.141253,0.142514,-6.18087,-1.55025,-2.44014,-4.52648,0.0978345,0.0836054,0.543387,0.424643
-6.34007,-2.13685,-6.43186,-2.09623,0.0917934,-0.0406167,-6.42954,-2.00014,-2.532,-4.46742,0.0974927,0.083709,0.541496,0.424194
-6.79288,-2.4458,-6.69389,-2.53714,-0.0989874,0.0913386,-6.68761,-2.44386,-2.62788,-4.40288,0.0971669,0.0836296,0.539595,0.423089
-6.8003,-3.10086,-7.00902,-2.94588,0.208724,-0.154981,-6.95546,-2.88084,-2.7274,-4.3326,0.0968786,0.0837175,0.537781,0.422381
-7.12118,-3.26434,-7.21402,-3.46392,0.0928395,0.199585,-7.23344,-3.3105,-2.83017,-4.25632,0.0965539,0.0840064,0.536342,0.421809
-7.49009,-3.49081,-7.48143,-3.90876,-0.00866323,0.417949,-7.52184,-3.73223,-2.93579,-4.1738,0.0962335,0.0842585,0.534901,0.42118
-7.88049,-4.29783,-7.79867,-4.21651,-0.081817,-0.0813165,-7.82094,-4.14538,-3.04381,-4.08479,0.0959098,0.0842027,0.533293,0.420302
-8.22492,-4.79812,-8.099,-4.68354,-0.125925,-0.114589,-8.13095,-4.5493,-3.15376,-3.98906,0.0955939,0.0846821,0.531927,0.420393
-8.33552,-5.1059,-8.38779,-5.12786,0.0522728,0.0219626,-8.45204,-4.94331,-3.26514,-3.88641,0.0953932,0.0855864,0.531887,0.420394
-8.91477,-5.51752,-8.65988,-5.49398,-0.254891,-0.0235443,-8.78433,-5.32669,-3.37745,-3.77663,0.0953098,0.0861867,0.532274,0.419772
-9.03391,-5.80267,-9.01485,-5.88795,-0.0190653,0.0852885,-9.12788,-5.69872,-3.49012,-3.65955,0.0952944,0.0869494,0.532411,0.419521
-9.30811,-5.82368,-9.30798,-6.2071,-0.000128829,0.383425,-9.4827,-6.05868,-3.60261,-3.53503,0.0956489,0.0870189,0.533067,0.418449
-9.62547,-6.55958,-9.67752,-6.46436,0.0520447,-0.0952178,-9.84874,-6.4058,-3.71431,-3.40295,0.0963209,0.0869382,0.533407,0.417627
-10.2246,-6.83402,-10.0495,-6.85307,-0.175056,0.0190514,-10.2259,-6.73933,-3.82463,-3.26321,0.096716,0.0869648,0.532547,0.417613
-10.7616,-7.29159,-10.4496,-7.18259,-0.312042,-0.108999,-10.614,-7.05849,-3.93293,-3.11577,0.0969351,0.0871583,0.531412,0.418226
-11.2219,-7.56979,-10.8977,-7.51048,-0.32425,-0.0593145,-11.0128,-7.36252,-4.03859,-2.96062,0.0968246,0.08747,0.530005,0.419001
-11.0934,-7.6776,-11.3318,-7.81601,0.238388,0.138409,-11.422,-7.65064,-4.14093,-2.79777,0.0968882,0.0879341,0.529245,0.419847
-11.5269,-7.8215,-11.6594,-8.10141,0.132553,0.279901,-11.8413,-7.92208,-4.23932,-2.6273,0.0975278,0.0882597,0.529127,0.420594
-12.09,-8.08828,-12.0161,-8.3057,-0.0739002,0.217419,-12.2702,-8.17609,-4.33309,-2.44932,0.0987282,0.0882342,0.5299,0.420358
-12.4231,-8.2599,-12.485,-8.51483,0.0618529,0.254922,-12.7082,-8.41193,-4.42156,-2.26399,0.0997797,0.0880697,0.528974,0.420866
-13.2911,-8.64594,-12.8812,-8.67356,-0.409939,0.0276224,-13.1547,-8.62886,-4.50407,-2.07151,0.10088,0.0878054,0.52856,0.420464
-13.384,-8.57583,-13.4417,-8.85393,0.0576436,0.278105,-13.6092,-8.82619,-4.57997,-1.87214,0.101287,0.087586,0.527212,0.420211
-13.9959,-8.99264,-13.8562,-8.93706,-0.139697,-0.0555781,-14.0709,-9.00324,-4.64861,-1.6662,0.102063,0.0874966,0.526786,0.419436
-14.4273,-9.1875,-14.3573,-9.14685,-0.0699531,-0.0406496,-14.5391,-9.15936,-4.70936,-1.45402,0.102615,0.0872588,0.525473,0.420573
-15.062,-9.04396,-14.7945,-9.35169,-0.267558,0.307732,-15.013,-9.29397,-4.76161,-1.23603,0.103116,0.0870882,0.524404,0.42156
-15.6682,-9.56749,-15.362,-9.40277,-0.306256,-0.164727,-15.4916,-9.40649,-4.80476,-1.01269,0.103099,0.0868502,0.522996,0.423005
-16.0862,-9.59819,-15.8522,-9.56604,-0.234015,-0.0321479,-15.9741,-9.49642,-4.83827,-0.784484,0.103019,0.0866646,0.522067,0.424898
-16.4229,-9.37029,-16.3558,-9.65933,-0.0670637,0.289039,-16.4594,-9.5633,-4.8616,-0.55198,0.102865,0.0864678,0.521106,0.426138
-17.1132,-9.43043,-16.8143,-9.6412,-0.298931,0.210761,-16.9464,-9.60673,-4.87427,-0.315773,0.102767,0.0862883,0.520184,0.426503
-17.5448,-9.57485,-17.3767,-9.66459,-0.168071,0.0897424,-17.4342,-9.62636,-4.87583,-0.0765024,0.1025,0.086035,0.518739,0.428132
-17.9724,-9.42299,-17.8942,-9.66781,-0.0782169,0.244822,-17.9216,-9.62194,-4.86588,0.165151,0.102206,0.0858202,0.51734,0.429259
-18.2763,-9.60997,-18.3881,-9.5851,0.11187,-0.0248718,-18.4074,-9.59325,-4.84408,0.40847,0.101938,0.085596,0.516207,0.430667
-18.9545,-9.51544,-18.812,-9.63562,-0.14248,0.120172,-18.8904,-9.54017,-4.81012,0.652707,0.101725,0.0854161,0.514905,0.43415
-19.2983,-9.09865,-19.2996,-9.57389,0.00126219,0.475239,-19.3694,-9.46265,-4.76378,0.897083,0.101497,0.0852902,0.513477,0.436683
-19.8731,-8.96417,-19.7848,-9.34201,-0.0883029,0.377837,-19.8431,-9.36071,-4.70487,1.1408,0.101242,0.0855228,0.512093,0.436779
-20.1607,-9.59663,-20.2961,-9.06459,0.135346,-0.532045,-20.3102,-9.23446,-4.63328,1.38303,0.101068,0.0858786,0.510774,0.438675
-20.6596,-8.91527,-20.6626,-9.23789,0.00303251,0.322617,-20.7696,-9.08409,-4.54895,1.62296,0.101003,0.0858122,0.509449,0.443843
-21.0195,-8.85081,-21.1378,-9.02813,0.118294,0.177311,-21.2198,-8.90987,-4.45191,1.85972,0.100914,0.0857157,0.508074,0.447926
-21.5029,-8.87191,-21.5609,-8.86573,0.0580827,-0.00617953,-21.6597,-8.71217,-4.34224,2.0925,0.100921,0.0860706,0.506747,0.453181
-21.9793,-8.57089,-21.9139,-8.71483,-0.0654339,0.143945,-22.0881,-8.49143,-4.22007,2.32043,0.101284,0.0867419,0.505957,0.457666
-22.5838,-8.35296,-22.3404,-8.49701,-0.243448,0.144056,-22.5035,-8.24817,-4.08564,2.5427,0.101493,0.0875981,0.504618,0.462146
