rho_msmt,phi_msmt,rho_dot_msmt,rho_pred,phi_pred,rho_dot_pred,rho_error,phi_error,rho_dot_error,px_gt,py_gt,vx_gt,vy_gt,px_rmse,py_rmse,vx_rmse,vy_rmse
20.2062,1.30633,-3.8691,20.5114,1.29491,-3.20267,-0.30519,0.0114172,-0.666434,5.89034,19.6824,-4.33744,-2.45178,0.0971925,0.0910454,0.634738,0.505402
19.8966,1.26707,-3.80305,20.129,1.30842,-3.44612,-0.232376,-0.0413457,-0.356931,5.46145,19.4284,-4.24359,-2.62995,0.0992709,0.090572,0.633317,0.503134
20.175,1.27537,-3.51253,19.7747,1.32408,-3.50706,0.400283,-0.0487113,-0.00546713,5.04219,19.157,-4.1451,-2.80059,0.100563,0.0901113,0.631187,0.501432
19.458,1.36444,-3.99074,19.4433,1.33573,-3.43636,0.0146674,0.0287084,-0.554377,4.63297,18.8689,-4.04263,-2.96359,0.100687,0.0896523,0.628292,0.499673
19.0503,1.32192,-3.6392,19.0682,1.35157,-3.60947,-0.0178689,-0.0296545,-0.0297299,4.23416,18.5648,-3.93685,-3.11888,0.100438,0.0892611,0.625272,0.498003
19.1444,1.39096,-4.53568,18.7208,1.36169,-3.55698,0.423669,0.0292683,-0.978699,3.84606,18.2457,-3.82841,-3.26644,0.0999666,0.0888962,0.622104,0.496122
18.4355,1.33532,-3.74495,18.2868,1.38497,-3.93705,0.148711,-0.0496465,0.192104,3.46891,17.9122,-3.71795,-3.40627,0.0996594,0.088665,0.619962,0.494021
18.0842,1.42336,-4.42054,17.9076,1.40393,-3.79405,0.176638,0.0194278,-0.626492,3.10287,17.565,-3.60609,-3.53844,0.0999257,0.0885121,0.619095,0.492096
17.3991,1.38194,-4.60153,17.5411,1.42123,-3.91446,-0.141957,-0.0392951,-0.68707,2.74805,17.2051,-3.49344,-3.66302,0.100007,0.0887554,0.617932,0.489958
17.0798,1.42091,-3.82496,17.0727,1.43608,-4.20228,0.00716003,-0.0151658,0.377322,2.4045,16.833,-3.38059,-3.78014,0.0999588,0.0888183,0.616398,0.487831
16.1262,1.47283,-3.95475,16.7112,1.45196,-3.93481,-0.585036,0.0208679,-0.0199418,2.07221,16.4497,-3.26812,-3.88995,0.0998897,0.0892263,0.614738,0.48647
16.3618,1.46403,-4.00339,16.2437,1.46919,-3.99795,0.118102,-0.00516597,-0.00543065,1.75112,16.0557,-3.15656,-3.99261,0.0998121,0.0893269,0.61299,0.48511
15.6357,1.46766,-4.66234,15.8698,1.49,-3.8977,-0.234151,-0.0223355,-0.764632,1.44111,15.6517,-3.04644,-4.08832,0.10023,0.0897943,0.612107,0.483697
15.5501,1.51746,-4.27372,15.3695,1.50737,-4.25993,0.180586,0.0100922,-0.0137898,1.14201,15.2386,-2.93825,-4.1773,0.100952,0.0899083,0.611451,0.481514
15.2483,1.5031,-4.04402,14.9297,1.53146,-4.21965,0.318628,-0.0283585,0.175626,0.853604,14.8169,-2.83246,-4.25977,0.103089,0.0901134,0.612241,0.479721
14.2628,1.52014,-4.69806,14.54,1.54389,-4.06981,-0.277241,-0.0237445,-0.628251,0.575628,14.3872,-2.72952,-4.33598,0.103786,0.0903999,0.610672,0.477959
13.9605,1.57315,-5.03236,14.0455,1.56371,-4.34777,-0.0849854,0.00943831,-0.684595,0.307779,13.9502,-2.62984,-4.40617,0.105034,0.0902693,0.609608,0.476075
13.6378,1.56695,-4.9909,13.5247,1.57001,-4.67171,0.113118,-0.00305817,-0.319192,0.0497099,13.5065,-2.53381,-4.47061,0.104606,0.0898764,0.606814,0.474727
13.1485,1.59172,-4.45625,13.0347,1.59194,-4.75963,0.113843,-0.000227378,0.303377,-0.198962,13.0566,-2.44179,-4.52955,0.104366,0.0894696,0.604361,0.473131
12.3753,1.62616,-4.32808,12.6167,1.59826,-4.54405,-0.241364,0.0279001,0.215962,-0.438654,12.6011,-2.35412,-4.58326,0.104135,0.0890733,0.601806,0.471026
12.5584,1.64828,-4.43193,12.1716,1.61987,-4.40971,0.38683,0.0284101,-0.0222216,-0.669818,12.1404,-2.27111,-4.63198,0.103824,0.0887002,0.599139,0.469008
11.7183,1.67918,-4.45955,11.7639,1.63787,-4.32705,-0.0455963,0.0413052,-0.132506,-0.892931,11.6751,-2.19304,-4.67598,0.103683,0.0884403,0.596519,0.467129
10.9952,1.65196,-4.10274,11.3053,1.67309,-4.33014,-0.310095,-0.0211253,0.2274,-1.1085,11.2057,-2.12017,-4.71549,0.10326,0.0881284,0.594845,0.465308
10.9783,1.68939,-4.76211,10.8921,1.70335,-4.13551,0.0861838,-0.0139586,-0.626602,-1.31706,10.7324,-2.05273,-4.75075,0.103193,0.0878466,0.59399,0.463508
10.147,1.72843,-4.75698,10.4015,1.73003,-4.38007,-0.254534,-0.00159249,-0.376908,-1.51917,10.2559,-1.99093,-4.78198,0.103281,0.0874805,0.592802,0.461797
10.0927,1.7297,-4.34381,9.95577,1.75378,-4.42979,0.13692,-0.0240782,0.0859765,-1.71539,9.77637,-1.93498,-4.80939,0.103087,0.0871346,0.590796,0.459901
9.64457,1.80859,-4.63944,9.55371,1.7747,-4.26972,0.0908633,0.0338994,-0.369718,-1.90631,9.29431,-1.88502,-4.83316,0.102726,0.0868839,0.588436,0.458047
9.34188,1.78279,-4.20313,9.03856,1.80927,-4.4396,0.303321,-0.0264752,0.236469,-2.09256,8.81003,-1.8412,-4.85347,0.102331,0.0865257,0.586049,0.456325
